YYC,Calgary International Airport
YEG,Edmonton International Airport
YUL,Montreal Pierre Elliott Trudeau International Airport
YOW,Ottawa Macdonald-Cartier International Airport
YYZ,Toronto Pearson International Airport
YVR,Vancouver International Airport
YWG,Winnipeg James Armstrong Richardson International Airport
ATL,Hartsfield-Jackson Atlanta International Airport
PEK,Beijing Capital International Airport
DXB,Dubai International Airport
HKG,Hong Kong International Airport
LHR,London Heathrow Airport
HND,Tokyo Haneda Airport
ORD,O'Hare International Airport
PVG,Shanghai Pudong International Airport
CDG,Paris-Charles de Gaulle Airport
AMS,Amsterdam Airport Schiphol
DEL,Indira Gandhi International Airport
FRA,Frankfurt Airport
DFW,Dallas/Fort Worth International Airport
